"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","search_S_alphas","search_S_gammas","search_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",1.742035,0.5790375,0.1134084,2.6644425,0.6465245,0.1897093,1.9373525,0.7761771,0.2191708,1.64317,0.5942597,0.2372941,2.49251,0.3808045,0.0610503,1.1341025,0.4201046,0.394541,0.6491189,0.0241319081720378,-0.0443515737469597,-0.162785928767971,0.226147526889001,1.25077167529875,1.4791210618077,1.25077167529875,0.725704071051826,0,30499089.9783175,0.465716,65481090.2533626,1e-04,1,0.120718002319336,0.408370018005371,"1_3_1",1,3,1,3,FALSE,TRUE,9,0.340796607217378,1,FALSE
"2",1.5852775,0.6268258,0.2011044,1.5677075,0.6202745,0.3036598,1.4655375,0.7847297,0.2030758,1.6384225,0.6213,0.2590261,2.4554875,0.5941288,0.1469226,1.5785625,0.7046931,0.57648,0.6428246,0.0196349173307157,-0.0378993137783128,-0.168997983223067,0.227196816251158,1.26018773167515,1.48216022302839,1.26018773167515,0.70977588117864,0,33335054.2967573,0.50903,65481090.2533626,1e-04,1,0.110678195953369,0.65889573097229,"1_5_1",1,5,1,5,FALSE,TRUE,7,0.330049780329242,1,FALSE
"3",1.666635,0.6369275,0.1897353,1.6255625,0.637967,0.21661,2.0260925,0.5039303,0.2759686,2.54671,0.7528321,0.2481754,2.2875175,0.6212181,0.0865683,1.7771375,0.6833942,0.4761985,0.6537839,0.092919583930247,0.00475939518591861,-0.0449297120146157,0.218031468069206,1.22100858701273,1.40215936363037,1.22100858701273,0.726816883616464,0,19648910.7523265,0.3,65481090.2533626,1e-04,1,0.10994815826416,1.02215886116028,"1_8_1",1,8,1,8,FALSE,TRUE,7,0.32841272078087,1,FALSE
"4",1.492505,0.6688951,0.1693893,1.058195,0.7022193,0.2688457,1.21926,0.6775429,0.2587852,1.433035,0.8933193,0.226711,1.3518025,0.4780954,0.0864468,2.1762725,0.6963295,0.559138,0.6297794,0.00114114028300072,-0.0273354103258621,-0.191444791385748,0.225153221216258,1.34460954514449,1.57816949780978,1.34460954514449,0.698771931655693,0,35186870.7722256,0.537313,65481090.2533626,1e-04,1,0.105087518692017,2.38397407531738,"1_19_1",1,19,1,19,FALSE,TRUE,9,0.340765012884997,1,FALSE
"5",1.38832,0.506332,0.02987226,2.0705975,0.9346046,0.2422552,1.085965,0.5154334,0.3511756,2.1389275,0.5446773,0.2368345,1.146705,0.5983274,0.0939774,1.898625,0.6471594,0.644262,0.6596681,-0.025581830569011,-0.112577466224448,-0.244416520740292,0.231612685920104,1.26770790503635,1.53107605305578,1.26770790503635,0.63771773492096,0,50144726.3487259,0.765766,65481090.2533626,1e-04,1,0.101985931396484,2.63184690475464,"1_21_1",1,21,1,21,FALSE,TRUE,5,0.295063324335467,1,FALSE
"6",1.9120375,0.630876,0.1844487,1.7240075,0.7209093,0.2636749,1.579425,0.591109,0.2736409,1.8567275,0.6361624,0.2687914,1.8385075,0.5983351,0.1745484,1.076465,0.7865518,0.467212,0.633374,0.0134146353948613,-0.00776948451945358,-0.0884263774677392,0.22376565861227,1.30348766686507,1.58110830349226,1.30348766686507,0.701725024228566,0,32655363.074757,0.498649,65481090.2533626,1e-04,1,0.110864400863647,2.87875127792358,"1_23_1",1,23,1,23,FALSE,TRUE,9,0.343236060496001,1,FALSE
"7",2.49237,0.6624544,0.1583217,0.922345,0.7555551,0.1870864,1.4572725,0.7699604,0.3041107,2.3244,0.7546374,0.2156212,2.336265,0.5198868,0.1559157,2.0366225,0.5982721,0.5751055,0.6501458,0.0418314289744189,-0.0437406965101996,-0.143283643099193,0.22408730029073,1.25040581205444,1.46666467651034,1.25040581205444,0.698075218595879,0,26818438.5916736,0.409501,65481090.2533626,1e-04,1,0.11188006401062,3.49904322624207,"1_28_1",1,28,1,28,FALSE,TRUE,6,0.319135821302798,1,FALSE
"8",1.742035,0.5790375,0.1134084,2.6644425,0.6465245,0.1897093,1.9373525,0.7761771,0.2191708,1.64317,0.5942597,0.2372941,2.49251,0.3808045,0.0610503,1.1341025,0.4201046,0.394541,0.645233,0.559477526054767,0.414237822239669,0.614725283634682,0.152297354218394,0.931802796038582,0.89856676887684,0.931802796038582,0.724443332489157,0,3157936.0342455,0.0481315,65481090.2533626,1e-04,1,0.109516859054565,4.10681819915771,"1_33_1",1,33,1,33,FALSE,TRUE,4,0.259981874836175,3,FALSE
"9",1.977185,0.6146724,0.1025574,0.5072231,0.9705244,0.248782,0.8458725,0.5195858,0.3784324,2.527425,0.6716181,0.316591,1.5584275,0.7407809,0.1815174,2.577545,0.7786908,0.795115,0.6527774,-0.0404487298567533,-0.109637918686809,-0.286814691441544,0.233510614067747,1.28927428180293,1.55600806148774,1.28927428180293,0.576994868975713,0,62479540.8178397,0.954157,65481090.2533626,1e-04,1,0.100928068161011,4.22397255897522,"1_34_1",1,34,1,34,FALSE,TRUE,5,0.273562378676685,1,FALSE
"10",1.42771,0.6268258,0.2011044,1.5677075,0.6202745,0.3036598,1.4655375,0.7847297,0.2030758,1.6384225,0.6213,0.2590261,2.4554875,0.5941288,0.1469226,1.5785625,0.7046931,0.57648,0.6562994,-0.0165634601181157,-0.107638932599537,-0.223429352634396,0.230592103702206,1.26489121082369,1.51811030336624,1.26489121082369,0.703974360165585,0,46782805.0332406,0.714419,65481090.2533626,1e-04,1,0.10993480682373,4.35029458999634,"1_35_1",1,35,1,35,FALSE,TRUE,8,0.332718892598895,1,FALSE
