"","fb_organic_total_impressions_alphas","fb_organic_total_impressions_gammas","fb_organic_total_impressions_thetas","fb_paid_spend_alphas","fb_paid_spend_gammas","fb_paid_spend_thetas","google_paid_spend_alphas","google_paid_spend_gammas","google_paid_spend_thetas","mountain_paid_spend_alphas","mountain_paid_spend_gammas","mountain_paid_spend_thetas","pinterest_paid_spend_alphas","pinterest_paid_spend_gammas","pinterest_paid_spend_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",2.158115,0.6006808,0.1719849,1.6756675,0.5589258,0.1628691,0.992175,0.5315411,0.1025865,2.08578,0.6038777,0.1400682,2.17587,0.5989581,0.1372605,0.6158645,0.0465717844440543,-0.500334278172726,-0.878710922332313,0.159653472850187,2.84471750581205,2.48460029336977,2.84471750581205,0.106525486774808,0,975734.459052369,0.678866,1437232.53871745,1e-04,1,0.104339599609375,0.648597240447998,"1_5_1",1,5,1,5,TRUE,TRUE,8,0.325957221979142,2,FALSE
"2",1.29048,0.5209452,0.1674339,2.0176925,0.7380964,0.2534571,1.11586,0.6501841,0.1337955,2.3841675,0.7210913,0.1999515,1.3039925,0.5779483,0.1845366,0.7070825,0.097694274069252,0.11138282010414,-0.841657816482108,0.164291348358998,1.92441670737708,2.32782491667383,1.92441670737708,0.174627561611246,0,612148.114562453,0.425864,1437232.53871745,1e-04,1,0.104306221008301,0.896133422851562,"1_7_1",1,7,1,7,FALSE,TRUE,7,0.285519643585967,2,FALSE
"3",2.048755,0.6993346,0.1046958,1.68027,0.6854942,0.0706458,1.30282,0.5583714,0.198834,1.343105,0.6672592,0.1742358,2.6855525,0.6562545,0.1584069,0.7282664,0.0655198652579809,-0.0717319802969483,-0.935058600405056,0.169052344498449,1.74798270038678,2.34719972159219,1.74798270038678,0.149457151648182,0,847689.845594564,0.589766,1437232.53871745,1e-04,1,0.102599382400513,2.12450075149536,"1_17_1",1,17,1,17,FALSE,TRUE,2,0.287924927750167,2,FALSE
"4",1.433035,0.6063977,0.1563999,1.3358425,0.5219602,0.2245323,1.2649625,0.7582165,0.0772104,2.1355475,0.7738853,0.0921516,2.0902525,0.6497928,0.2650281,0.689168,0.146643768232603,0.124128035433787,-0.682438715789379,0.157141927770657,2.10495537716474,2.25616847442764,2.10495537716474,0.235976550644238,0,374348.717001248,0.260391,1437232.53871745,1e-04,1,0.104520559310913,2.76628422737122,"1_22_1",1,22,1,22,FALSE,TRUE,12,0.276490578255231,1,FALSE
"5",1.990545,0.6665851,0.0897732,1.19228,0.6915618,0.0833082,1.467305,0.733251,0.1149567,2.2430275,0.7572225,0.0747933,1.164665,0.9882673,0.1988481,0.7046636,0.067068211000029,0.0756364048670594,-0.955150490823667,0.167083506846172,1.97072976909108,2.40479117940624,1.97072976909108,0.307912657946184,0,850874.434409632,0.591982,1437232.53871745,1e-04,1,0.11125636100769,3.5233302116394,"1_28_1",1,28,1,28,FALSE,TRUE,12,0.336021790397568,2,FALSE
"6",2.03541,0.6763165,0.1019019,1.6945,0.6800979,0.0821691,1.4292725,0.6076955,0.1927614,1.347135,0.6602004,0.2439819,1.835435,0.6633084,0.1492326,0.70925,0.0693866884647174,0.074704823388644,-0.92322617039963,0.166696449425453,1.96105362310554,2.37886403608495,1.96105362310554,0.21150175187417,0,817841.510897386,0.568996,1437232.53871745,1e-04,1,0.120636940002441,3.92050814628601,"1_31_1",1,31,1,31,FALSE,TRUE,11,0.306760360685503,2,FALSE
"7",2.0617475,0.6544737,0.1007979,1.5508975,0.7244534,0.0775512,1.4062975,0.6134698,0.1752771,1.407815,0.6299688,0.158487,1.441005,0.6223416,0.0407835,0.7096538,0.0804427306844535,0.0867352454443459,-0.894868001511448,0.165703282008643,1.94826338543289,2.36126060581586,1.94826338543289,0.231448018733784,0,721710.328764581,0.502103,1437232.53871745,1e-04,1,0.109570264816284,4.04654932022095,"1_32_1",1,32,1,32,FALSE,TRUE,11,0.30552854777714,2,FALSE
"8",1.834405,0.33814692,0.1719849,1.6756675,0.5589258,0.1628691,0.992175,0.5315411,0.1025865,2.08578,0.6038777,0.1400682,2.17587,0.5989581,0.1372605,0.6158645,0.0479503439117331,-0.499488032947897,-0.871310551309374,0.159538009820004,2.84391512857114,2.47970195951124,2.84391512857114,0.106426415422599,0,975734.459052369,0.678866,1437232.53871745,1e-04,1,0.108229160308838,4.43295216560364,"1_35_1",1,35,1,35,TRUE,TRUE,7,0.324451307417579,2,FALSE
"9",1.87785,0.34829041,0.14706,2.0690875,0.7211382,0.2534571,1.11586,0.6501841,0.1337955,1.9897875,0.7248503,0.1344714,2.1063125,0.5414202,0.1670166,0.6445766,0.0781624896480164,-0.168494033865512,-0.820246504963664,0.159842961143417,2.59385284911284,2.3945722805465,2.59385284911284,0.142559753259863,0,674169.99366023,0.469022,1437232.53871745,1e-04,1,0.108181238174438,4.69013977050781,"1_37_1",1,37,1,37,TRUE,TRUE,7,0.301465976676838,2,FALSE
"10",1.125225,0.6619476,0.02629614,1.90292,0.6803079,0.0936057,1.4167075,0.5493904,0.1835412,1.4057525,0.6776528,0.167388,2.489105,0.6735473,0.1537389,0.705935,0.0697420722533243,0.0828461736036424,-0.923274626509811,0.166790271934135,1.96333748796949,2.3807371662126,1.96333748796949,0.16970305639668,0,816949.078742983,0.568375,1437232.53871745,1e-04,1,0.109025716781616,4.81552934646606,"1_38_1",1,38,1,38,FALSE,TRUE,7,0.300603632654178,2,FALSE
