"","fb_organic_total_impressions_alphas","fb_organic_total_impressions_gammas","fb_organic_total_impressions_thetas","fb_paid_spend_alphas","fb_paid_spend_gammas","fb_paid_spend_thetas","google_organic_total_impressions_alphas","google_organic_total_impressions_gammas","google_organic_total_impressions_thetas","google_paid_spend_alphas","google_paid_spend_gammas","google_paid_spend_thetas","instagram_organic_total_impressions_alphas","instagram_organic_total_impressions_gammas","instagram_organic_total_impressions_thetas","mountain_paid_spend_alphas","mountain_paid_spend_gammas","mountain_paid_spend_thetas","pinterest_paid_spend_alphas","pinterest_paid_spend_gammas","pinterest_paid_spend_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",1.98203,0.5842434,0.0907272,1.7514175,0.658512,0.1282623,1.9350875,0.8049912,0.1684707,1.347135,0.6602004,0.2439819,1.835435,0.6915212,0.112536,1.71478,0.6107643,0.1936449,1.48801,0.4933757,0.1965183,0.6236849,0.201555621419592,-0.104814695518879,-0.567598619867497,0.148729772769111,2.47205816684627,2.25770122667822,2.47205816684627,0.212872002984918,0,253982.469084465,0.176634,1437232.53871745,1e-04,1,0.156629085540771,0.156629085540771,"1_1_1",1,1,1,1,TRUE,TRUE,12,0.27870582123594,4,TRUE
"2",1.721915,0.5454025,0.1584243,2.406655,0.4891162,0.139998,1.1457325,0.5228114,0.1129206,1.65122,0.3951615,0.1506309,2.247115,0.6608444,0.1839303,1.0547625,0.7638578,0.1189383,2.2608325,0.6027731,0.1645713,0.6365534,0.0298952442538848,-0.307985692571571,-0.978219128716843,0.162783013088488,2.70154699871953,2.51259898226674,2.70154699871953,0.179482994997472,0,1278577.93349027,0.8896,1437232.53871745,1e-04,1,0.111989498138428,0.285884857177734,"1_2_1",1,2,1,2,TRUE,TRUE,12,0.333027558104648,6,FALSE
"3",1.7375875,0.5093217,0.1724823,2.2006325,0.5780652,0.1371804,1.5509275,0.6203529,0.2391012,0.7885875,0.4424507,0.0760923,0.928945,0.4323574,0.1397148,1.7426575,0.7016033,0.1053747,1.6308575,0.5610517,0.1863801,0.6180509,0.0637542212911522,-0.390851327164087,-0.886461447305377,0.160763723001676,2.76755615899995,2.4782160535669,2.76755615899995,0.192005319702634,0,774345.14371975,0.538729,1437232.53871745,1e-04,1,0.118319272994995,0.422672510147095,"1_3_1",1,3,1,3,TRUE,TRUE,13,0.326818049352962,5,FALSE
"4",1.6475,0.6710609,0.2346585,1.55046,0.6428194,0.1294275,1.9453325,0.687072,0.152709,1.690205,0.554401,0.0746031,1.809495,0.5050965,0.2195055,1.81559,0.6284848,0.1449012,1.597545,0.4840832,0.0948576,0.6674339,0.126520590476222,0.0511274726095082,-0.811580356285642,0.156053441318626,2.30260702159323,2.36818325206806,2.30260702159323,0.262569881889992,0,453740.688611534,0.315636,1437232.53871745,1e-04,1,0.115018367767334,0.677614688873291,"1_5_1",1,5,1,5,FALSE,TRUE,12,0.318353124610607,2,FALSE
"5",1.761635,0.6592974,0.1363932,2.071935,0.691699,0.1356147,1.5822925,0.6332875,0.1400742,1.50755,0.4757546,0.1309995,1.18331,0.8047077,0.1007238,2.93464,0.6352895,0.1924914,1.77989,0.8059152,0.1704825,0.6263849,0.0311181755216446,-0.38637665873223,-0.999742483497526,0.163455539106862,2.77184238219564,2.54563889052664,2.77184238219564,0.178318735214383,0,1272858.32000473,0.88562,1437232.53871745,1e-04,1,0.106881141662598,0.9241623878479,"1_7_1",1,7,1,7,TRUE,TRUE,12,0.340922050054785,6,FALSE
"6",1.438465,0.6180254,0.2142918,1.204425,0.7711518,0.2585964,1.658335,0.3845754,0.2399874,0.9975325,0.6143413,0.1817352,1.8381375,0.4330091,0.2052777,2.068935,0.6163993,0.1480278,1.946235,0.5742012,0.1750983,0.6397193,0.0940197825735453,-0.188925659428297,-0.820263510515808,0.157464497880322,2.59017757740581,2.40596269237823,2.59017757740581,0.148584653292537,0,550935.316467782,0.383269,1437232.53871745,1e-04,1,0.115268468856812,1.05693292617798,"1_8_1",1,8,1,8,TRUE,TRUE,4,0.302470937647823,5,FALSE
"7",1.9247975,0.6310335,0.1491822,1.6428375,0.5191161,0.2232516,2.36365,0.5312891,0.0475185,1.916785,0.8626621,0.1905042,2.0443,0.5828371,0.1258038,1.3666875,0.5788289,0.2259678,2.0220775,0.4727208,0.1589691,0.6959834,0.0537373835119458,0.0628788280131318,-1.00963528449861,0.167034976718135,2.06787154349042,2.44104538223025,2.06787154349042,0.362144479678804,0,1041553.1268006,0.724666,1437232.53871745,1e-04,1,0.106981039047241,1.18107962608337,"1_9_1",1,9,1,9,FALSE,TRUE,13,0.370481719484665,1,FALSE
"8",1.6299975,0.8389258,0.0661665,1.4413475,0.4977843,0.199941,1.51191,0.4836359,0.121947,1.383525,0.7367349,0.1980141,1.7898175,0.6441347,0.2237967,1.946895,0.5257332,0.2336907,1.2400275,0.9436283,0.1552566,0.6828761,0.0835310892282679,0.0596521409009912,-0.95506083576516,0.163135571589922,2.14924478229648,2.4376804633279,2.14924478229648,0.27044046644742,0,692321.862488351,0.481653,1437232.53871745,1e-04,1,0.115022897720337,1.31364011764526,"1_10_1",1,10,1,10,FALSE,TRUE,12,0.336582466843382,2,FALSE
"9",1.55131,0.581729,0.166695,1.548435,0.5509563,0.2451804,1.17498,0.7062646,0.1053777,1.7330075,0.7817071,0.198963,1.5854125,0.6261293,0.1943439,1.34848,0.5158877,0.2071596,2.1440775,0.651337,0.1515057,0.7259258,0.167199408460879,0.120093701272398,-0.735936872199595,0.158859946219055,1.63997731666278,2.21959386902434,1.63997731666278,0.303710503311983,0,347748.203027017,0.241881,1437232.53871745,1e-04,1,0.108765363693237,1.56242656707764,"1_12_1",1,12,1,12,FALSE,TRUE,3,0.300466307688493,2,FALSE
"10",1.6424975,0.635601,0.2323668,2.1340675,0.675123,0.1688361,1.6024975,0.739635,0.1740036,1.5971725,0.5312632,0.1063587,1.2939175,0.6433101,0.1604601,2.17727,0.6891097,0.0889758,2.2304275,0.6741584,0.1343097,0.6806969,0.181690112528345,0.18707671480681,-0.675496388685202,0.154297661492454,1.99860381295683,2.25661111372769,1.99860381295683,0.182855676581341,0,310090.72770661,0.215677,1437232.53871745,1e-04,1,0.114224910736084,1.94748640060425,"1_15_1",1,15,1,15,FALSE,TRUE,6,0.271528507991857,2,FALSE
"11",1.8707825,0.5916025,0.2205723,1.9307975,0.573238,0.152385,1.492505,0.6688951,0.1693893,1.058195,0.7022193,0.1688457,1.21926,0.6775429,0.1587852,1.433035,0.8933193,0.126711,1.3518025,0.4780954,0.0864468,0.6698555,0.0550783554946194,-0.0234700732773461,-1.01083245112573,0.162749112176193,2.38752772639445,2.48735701797419,2.38752772639445,0.17042589163765,0,963724.70782154,0.670509,1437232.53871745,1e-04,1,0.113029956817627,2.20579791069031,"1_17_1",1,17,1,17,FALSE,TRUE,10,0.325449714131164,1,FALSE
"12",1.38832,0.506332,0.02987226,2.0705975,0.9346046,0.1422552,1.085965,0.5154334,0.2511756,2.1389275,0.5446773,0.1368345,1.146705,0.5983274,0.0939774,1.898625,0.6471594,0.2065572,2.414415,0.6725589,0.1375251,0.666293,0.0986858552236514,0.0219965088043579,-0.849778761278484,0.158520381075485,2.35789542477119,2.38553504840721,2.35789542477119,0.23601149673519,0,548575.616632791,0.381627,1437232.53871745,1e-04,1,0.111053943634033,2.47401595115662,"1_19_1",1,19,1,19,FALSE,TRUE,11,0.314677492656286,1,FALSE
"13",2.9630425,0.507431,0.1724754,1.4276725,0.672358,0.0896229,1.93419,0.5776004,0.05667,1.88677,0.430788,0.1280283,1.9788325,0.7592973,0.0875088,1.85648,0.8067013,0.129036,2.0890275,0.6426262,0.1848126,0.6693851,0.0719962322094061,0.0085815768433587,-0.948078016886534,0.161285601901072,2.36909609296621,2.44060323197577,2.36909609296621,0.264488713789629,0,757279.71403612,0.526854,1437232.53871745,1e-04,1,0.125081539154053,2.61738705635071,"1_20_1",1,20,1,20,FALSE,TRUE,13,0.335455903497912,1,FALSE
