"","date","revenue","fb_paid_total_impressions","fb_paid_spend","google_paid_total_impressions","google_paid_spend","pinterest_paid_total_impressions","pinterest_paid_spend","mountain_paid_total_impressions","mountain_paid_spend","fb_organic_total_impressions","instagram_organic_total_impressions","google_organic_total_impressions"
"1",2022-01-29,4037.58,0,0,50978,638.21,1213,49.66,0,0,37656,41102,0
"2",2022-01-30,4420.55,0,0,59525,781.68,1128,49.32,0,0,44012,36179,0
"3",2022-01-31,7248.46,0,0,50077,627.57,1264,49.81,0,0,49376,28534,0
"4",2022-02-01,6175.43,0,0,61576,631.72,1975,52.12,0,0,50561,22492,0
"5",2022-02-02,8365.86,0,0,81949,950.93,5042,75,0,0,46201,30383,0
"6",2022-02-03,6734.47,0,0,96110,920.4,10011,94.95,0,0,52688,34393,0
"7",2022-02-04,1286.55,0,0,81692,907.67,7929,75,0,0,121262,40880,0
"8",2022-02-05,2847.5,0,0,151261,1092.55,8023,75,0,0,136281,47041,0
"9",2022-02-06,4970.31,0,0,86097,967.6,8189,75,0,0,102862,43709,0
"10",2022-02-07,5333.68,0,0,41607,635.51,6010,75,0,0,103373,91235,0
"11",2022-02-08,8666.75,0,0,88459,756.66,5154,75,0,0,102412,85692,0
"12",2022-02-09,12581.49,0,0,94103,938.67,5000,75,0,0,100105,88984,0
"13",2022-02-10,9200.94,0,0,124944,1499.1,4759,74.54,0,0,102619,100724,0
"14",2022-02-11,11635.41,0,0,173709,1596.93,4846,75,0,0,116945,107587,0
"15",2022-02-12,5949.86,0,0,164048,1800.92,7115,74.76,0,0,117066,91132,0
"16",2022-02-13,10105.19,0,0,139853,1403.69,7669,74.57,0,0,100296,124594,0
"17",2022-02-14,5612.44,0,0,86936,1174.84,7467,74.98,0,0,129009,107806,0
"18",2022-02-15,8443.66,0,0,162458,1270.04,7195,74.73,0,0,102550,105434,0
"19",2022-02-16,9397.18,0,0,143399,1267.14,6162,73.81,0,0,104305,100967,0
"20",2022-02-17,18260.46,0,0,150703,1077.12,7032,75,0,0,106234,87320,0
"21",2022-02-18,9722.93,0,0,109464,1442.88,7874,75,0,0,90118,55552,0
"22",2022-02-19,20685.3,0,0,150285,1611.08,7593,75,0,0,51412,47462,0
"23",2022-02-20,13831.19,0,0,192943,1919.03,7468,75,0,0,55241,71955,0
"24",2022-02-21,16694.2,0,0,231661,1807.48,8765,75,0,0,58422,70050,0
"25",2022-02-22,9245.03,0,0,151847,1575.63,7349,75,0,0,76716,132889,0
"26",2022-02-23,5830.19,0,0,161836,2043.35,7183,74.07,0,0,117117,112220,0
"27",2022-02-24,9271.89,0,0,281770,1850.56,7253,75,0,0,101272,120108,0
"28",2022-02-25,10049.54,0,0,152718,1681.26,7896,75,0,0,111245,128430,0
"29",2022-02-26,19498.4,0,0,186012,1783.41,7838,74.58,0,0,118447,144823,0
"30",2022-02-27,11311.1,0,0,206191,2133.14,8316,74.82,0,0,133759,146282,0
"31",2022-02-28,17745.5,0,0,159893,2051.88,17946,125.65,0,0,139474,105802,0
"32",2022-03-01,8044.58,0,0,229270,2710.11,17283,174.25,0,0,108953,89095,0
"33",2022-03-02,16335.61,0,0,276220,3118.58,14860,173.36,0,0,108691,61187,0
"34",2022-03-03,16321.54,0,0,238275,2929.47,14253,170.67,0,0,103404,46033,0
"35",2022-03-04,11097.97,0,0,224502,2796.63,9547,175,0,0,87002,50938,0
"36",2022-03-05,5502.85,0,0,246203,2750.66,10216,175,0,0,92401,42548,0
"37",2022-03-06,14217.03,0,0,489402,3356.27,13141,175,0,0,95589,40993,0
"38",2022-03-07,13108.99,0,0,232075,2449.76,11961,175,0,0,76120,40523,0
"39",2022-03-08,16426.64,0,0,153975,2217.07,14225,175,0,0,77500,44623,0
"40",2022-03-09,11023.99,0,0,160220,2237.62,20086,209.24,0,0,83725,42743,0
"41",2022-03-10,14211.93,0,0,225292,2625.13,25385,300.27,0,0,74974,30306,0
"42",2022-03-11,9655.05,0,0,214773,3106.57,23277,307,0,0,57334,29100,0
"43",2022-03-12,23959.32,0,0,290000,3855.01,25764,304.9,0,0,53623,43116,0
"44",2022-03-13,20435.28,0,0,464754,4149.83,22314,310.19,0,0,66501,37807,0
"45",2022-03-14,32746.65,0,0,288743,3482.58,25007,335.64,0,0,71107,36239,0
"46",2022-03-15,19993.09,0,0,213977,2823.52,21768,347.98,0,0,81302,39998,0
"47",2022-03-16,19334.63,0,0,261154,3767.26,19875,350,0,0,80920,38902,0
"48",2022-03-17,16871,0,0,277284,3431.76,17304,349.23,0,0,90859,38764,0
"49",2022-03-18,14684.79,0,0,300315,3442.17,18523,350,0,0,91959,39529,0
"50",2022-03-19,20828.45,0,0,343873,4035.57,24067,347.09,0,0,89387,41719,0
"51",2022-03-20,15873.14,0,0,378750,5287.93,26511,343.91,0,0,100948,55402,0
"52",2022-03-21,30077.48,0,0,283933,3072.04,28977,339.14,0,0,97061,71790,0
"53",2022-03-22,23993.92,0,0,214370,3167.23,27340,340.09,0,0,71476,54278,0
"54",2022-03-23,22743.04,0,0,269538,3234.64,17412,286.08,0,0,49139,35488,0
"55",2022-03-24,15417.67,0,0,187306,2812.83,22554,292.22,0,0,41242,31437,0
"56",2022-03-25,18210.25,0,0,286120,2819.88,18233,270.63,0,0,38328,35272,0
"57",2022-03-26,19099.3,0,0,280886,3162.23,16109,256.55,0,0,41005,43072,0
"58",2022-03-27,27690.77,0,0,235467,3151.26,16896,261.98,0,0,45458,84846,0
"59",2022-03-28,15051.43,0,0,216102,2801.99,16497,270.99,0,0,45186,60947,0
"60",2022-03-29,23022.59,0,0,183824,2672.11,16341,285.09,0,0,46827,46462,0
"61",2022-03-30,25538.12,0,0,193399,3562.59,17222,295.76,0,0,39828,50347,0
"62",2022-03-31,13136.9,0,0,195083,2853.8,18097,282.09,0,0,39116,53596,0
"63",2022-04-01,8731.78,0,0,251089,2279.38,24957,323.09,0,0,43338,43420,0
"64",2022-04-02,34724.88,0,0,563826,3281.63,24766,335.4,0,0,43437,48282,0
"65",2022-04-03,16697.06,0,0,336682,3133.29,24596,345.5,0,0,57038,46592,0
"66",2022-04-04,16878.75,0,0,416388,3124.21,23293,300.03,0,0,54466,67749,0
"67",2022-04-05,20626.93,0,0,299231,3533.15,22629,300,0,0,75405,52936,0
"68",2022-04-06,27328.12,0,0,271319,3013.45,17155,275,0,0,94305,44098,0
"69",2022-04-07,23429.81,0,0,183738,2728.23,17915,250.06,0,0,114284,42575,0
"70",2022-04-08,17671.1,0,0,311299,3731.75,18702,248.43,0,0,112963,35363,0
"71",2022-04-09,27746.49,0,0,319399,4052.1,18842,247.7,0,0,101496,40939,0
"72",2022-04-10,28956.29,0,0,343220,3324.8,19562,250,0,0,107157,37550,0
"73",2022-04-11,45536.8,0,0,259768,3229.97,19183,250,0,0,109840,53749,0
"74",2022-04-12,27973.62,0,0,302908,3454.57,19036,250,0,0,104081,74591,0
"75",2022-04-13,31296.12,0,0,206137,2858.52,19656,250,0,0,120942,55381,0
"76",2022-04-14,24151.47,0,0,240705,3835.18,18601,250,0,0,112321,66855,0
"77",2022-04-15,19524.16,0,0,305279,4161.59,18157,250,0,0,118582,76902,0
"78",2022-04-16,27534.39,0,0,257591,4518.37,17858,250,0,0,122951,73185,0
"79",2022-04-17,16253.4,0,0,316115,4227.15,18951,250,0,0,124378,89149,0
"80",2022-04-18,28068.03,0,0,257995,4533.43,18958,250,0,0,131565,82012,0
"81",2022-04-19,28509.29,0,0,216452,3799.33,18262,250,0,0,121532,59005,0
"82",2022-04-20,22373.43,0,0,159731,3131.52,18783,250,0,0,83027,46156,0
"83",2022-04-21,22961.56,0,0,207018,2745.48,17898,250,0,0,88698,66193,0
"84",2022-04-22,38329.7,0,0,116236,2112.5,15256,250,0,0,80091,69148,0
"85",2022-04-23,27067.43,0,0,182497,2955.67,15945,250,0,0,78791,51375,0
"86",2022-04-24,33291.58,0,0,227432,3790.82,17261,250,0,0,66369,57828,0
"87",2022-04-25,41429.58,0,0,237318,3962.68,19099,250,0,0,90238,47471,0
"88",2022-04-26,46463.62,0,0,213229,3501.59,19321,250,0,0,88969,49011,0
"89",2022-04-27,42474.33,0,0,182142,3201.75,18832,250,0,0,87402,42955,0
"90",2022-04-28,24897.41,1700,28.55,163150,2712.94,17969,250,0,0,81379,47491,0
"91",2022-04-29,28143.19,13101,242.09,176194,3123.15,17297,250,0,0,82506,56680,0
"92",2022-04-30,29037.57,12873,304.49,225012,3588.1,16181,250,0,0,60315,45463,0
"93",2022-05-01,31568.91,15073,328.22,363039,5550.3,21453,250,0,0,65985,82934,0
"94",2022-05-02,44305.55,17351,321.08,260126,4743.72,21041,250,0,0,74717,76334,0
"95",2022-05-03,38543.7,20034,432.18,221025,3701.95,19112,250,0,0,72495,56524,0
"96",2022-05-04,31325.36,37412,726.56,199407,2684.42,17609,250,0,0,70353,68226,0
"97",2022-05-05,22695.69,37098,947.53,173931,2954.26,18809,250,0,0,83119,55140,0
"98",2022-05-06,24836.42,41197,1055.21,133490,2438.53,18225,250,0,0,80527,63400,0
"99",2022-05-07,21678.06,48677,969.15,192845,2893.49,17060,250,0,0,71388,56443,0
"100",2022-05-08,52809.08,91463,1386.76,218710,3192.44,17719,250,0,0,66049,75861,0
"101",2022-05-09,44587.41,105833,1887.02,201742,3418.19,18348,250,0,0,112008,79448,0
"102",2022-05-10,35111.61,108575,2060.11,193335,3306.49,18672,249.72,0,0,124012,77399,0
"103",2022-05-11,41321.17,112218,1995.19,184664,3495.99,21174,250,0,0,125415,70388,0
"104",2022-05-12,32174.68,114174,2129.26,199399,4002.58,21463,248.45,0,0,128047,78668,0
"105",2022-05-13,33490.66,115756,2244.4,202885,4408.64,16088,250,0,0,127718,72931,0
"106",2022-05-14,62869.37,120673,2221.38,289134,5389.58,16215,249.11,0,0,129051,77407,0
