date,revenue,fb_paid_total_impressions,fb_paid_spend,google_paid_total_impressions,google_paid_spend,pinterest_paid_total_impressions,pinterest_paid_spend,mountain_paid_total_impressions,mountain_paid_spend,fb_organic_total_impressions,instagram_organic_total_impressions,google_organic_total_impressions
2024-01-29,3044.83,28298,464.39,57581,643.19,5285,41.95,,,49909.0,27955,
2024-01-28,15171.73,83995,1189.37,187231,1945.05,6919,50.00,,,40553.0,132564,18124.0
2024-01-27,11210.17,67093,1027.98,180470,1816.92,5828,50.00,,,40651.0,108717,18628.0
2024-01-26,19468.97,67156,1016.43,113701,1517.08,6077,50.00,,,48612.0,110737,15396.0
2024-01-25,16925.33,63094,1013.88,136497,1743.33,5512,50.00,,,43726.0,108785,16928.0
2024-01-24,14658.92,69114,1022.96,169773,1956.07,5959,50.00,,,42728.0,99133,17311.0
2024-01-23,10217.91,69070,1043.60,160279,1686.16,6697,50.00,,,51154.0,106506,17344.0
2024-01-22,27755.29,78121,1060.69,129116,1928.19,7655,50.00,,,47685.0,118777,17851.0
2024-01-21,13632.42,82849,1094.44,134637,1516.78,7732,50.00,,,47131.0,124484,19252.0
2024-01-20,10255.73,69478,1029.20,127888,1448.30,6458,50.00,,,51456.0,117936,18517.0
2024-01-19,13796.46,71278,1021.28,100367,1305.23,7108,50.00,,,46341.0,114451,16078.0
2024-01-18,19698.11,67835,1018.63,103747,1563.53,7468,50.00,,,40898.0,103594,15911.0
2024-01-17,16378.43,72459,1018.33,121361,1314.43,7835,50.00,,,36357.0,104289,17283.0
2024-01-16,11961.92,71788,1037.63,139126,1456.83,6986,50.00,,,41400.0,101260,18324.0
2024-01-15,21030.23,70554,1061.26,163545,1712.94,7030,50.00,,,43659.0,101148,19084.0
2024-01-14,15057.01,72284,1093.63,152758,1498.34,5573,50.00,,,46209.0,100970,19555.0
2024-01-13,13050.28,63218,1034.92,148265,1419.65,6536,50.00,,,42579.0,93705,21092.0
2024-01-12,9775.74,61582,1028.12,139677,1357.30,6818,50.00,,,42979.0,92347,17558.0
2024-01-11,22560.21,61701,1018.75,146453,1489.83,6573,50.00,,,47529.0,90350,17029.0
2024-01-10,20869.14,65612,1018.73,90181,1628.73,8151,50.00,,,61563.0,93518,15773.0
2024-01-09,18415.88,73655,1036.21,104888,1845.95,8012,50.00,,,61343.0,99282,16635.0
